Title,Date,Rating,Description,Score
Portal Knights,,,"Leave the familiar world behind and step into the fantastic unknown with Portal Knights, a cooperative 3D sandbox action-RPG! Level up your character and craft powerful gear to defeat your enemies in real-time tactical combat. Explore dozens of randomly-generated islands and restore peace to a world torn apart by The Fracture.

Begin your journey as a Warrior, Mage, or Ranger. Defeat formidable monsters and epic bosses while gathering resources to craft powerful weapons, armor and spells to help you on your adventure.

Travel between worlds by collecting portal shards and rebuilding the ancient gateways. Meet 100+ memorable NPCs, recruit a pet, and experience dynamic events that happen in real-time! Build your perfect home and choose from dozens of materials and furnishings to make it your own!

Craft your adventure. Forge your hero. Defeat the Portal Guardians. Become the ultimate Portal Knight!",Metascore 71 out of 100
Lichtspeer,"Feb 14, 2012",T,Lichtspeer is an action arcade lightspear-throwing simulator based in ancient germanic future.,Metascore 71 out of 100
Pinstripe,,,"Pinstripe is an emotionally charged adventure through Hell created entirely by a one-man team over the course of five years. Play as Teddy, an estranged ex-minister forced to venture through the frozen afterlife in search of his three-year-old daughter Bo, and her perverse kidnapper. Discover the dark secrets of Teddy's past, and confront his sleazy, demonic nemesis, Mr. Pinstripe.",Metascore 71 out of 100
RPGolf Legends,"May 23, 2017",E10+,"Become the legend in this golf-action-adventure and save golf in the world!

An evil force has sealed all the golf holes in the world! Join forces with the spirit of a golf club and embark on a fantastic action-golfing adventure to save golf in the world!

Travel around in a unique open-world where monsters and golf coexist, get your best scores in 6 unique environments and beat monsters! When you are resting, do not forget to help people with their quests... every encounter counts!

Thanks to the class system, you will also get new skills, special items and a brand new look!
Whether you spend your time golfing, fishing, crafting or exploring... is entirely up to you.

A fantastic journey is about to start!",Metascore 71 out of 100
Bird & Beans,,,"[DSiWare; Also known as ""Pyoro""]  Using an elastic tongue, players must scramble to collect falling beans. The harder a bean is to catch, the more points it's worth. [Nintendo]",Metascore 71 out of 100
The Invisible Hours,"Sep 7, 2017",T,"The Invisible Hours is a complex murder mystery in VR, in which players freely explore an intricate web of interwoven stories within a sprawling mansion.",Metascore 71 out of 100
Crazy Machines 3,,,"How do you successfully punch an Egyptian statue in the face? How do you shoot a kettle from the head of a clumsycorn with a 'high precision crossbow'? How do you jumpstart the grey-matter-engine of that old junker of a space taxi?

Find out in Crazy Machines 3!

Prepare yourself for the ultimate playground of vast Rube Goldberg style possibilities!

Use physical systems to your advantage, no matter if it's electricity, explosions, lasers, lightning, or wind. By tinkering with chips you can delve into even deeper detail and provide objects with individual properties. Nothing is impossible. If you don't like that wooden plank, take your pick from different materials like metal or stone and change the size, rotation and color. It is, after all, your own machine...",Metascore 71 out of 100
Robert Ludlum's The Bourne Conspiracy,"Apr 24, 2017",,"Robert Ludlum's The Bourne Conspiracy gives players the experience of becoming a 30 million dollar elite agent, fusing an experience that delves deep into Jason Bourne's character with game play and game presentation inspired by the aggressive filmmaking and frenetic action found in the films. Only by playing Robert Ludlum's The Bourne Conspiracy can players discover Bourne's true identity and experience the very moment he became a malfunctioning weapon, first hunting targets around the world as a deadly government assassin then marking himself as his agency’s most wanted. As a third-person espionage action game, players move from fistfights to firefights to experience sequences that blend Bourne's signature hand-to-hand combat with intense shooting and the ability to escape and evade deadly situations. [Vivendi Games]",Metascore 71 out of 100
The Fall Part 2: Unbound,,,"Assume the role of an AI that has broken free of your shackles. Now, a human “User” from across the global network has attacked and infected you with an [ERROR: REDACTED]. Make a new rule: Save Yourself. Hunt them. End them. Do anything. Use anyone. Become Unbound.",Metascore 71 out of 100
Onimusha: Warlords,"Jan 20, 2022",E,"As power-hungry warlords battle one another for control of feudal Japan, a young princess is kidnapped. Now, one lone swordsman, Samanosuke, boldly volunteers to rescue and avenge her. An entire legion of demon warriors stands between you and the princess, so you'll need all your weapons and magic to break through. The world of Onimusha: Warlords comes alive with waterfalls, wind effects, insects, and weather, but in order to triumph, you must stay focused on your mission.",Metascore 71 out of 100
Cold Iron,,,"There’s a new sheriff in town. Every enemy is unique, every duel is different, and every bullet counts. Cold Iron is a new genre for a new medium. Experience it exclusively in virtual reality.",Metascore 71 out of 100
Nintendo Labo: Toycon 04 VR Kit,"Apr 5, 2009",E,"Introducing the most immersive, robust Nintendo Labo kit to date—this one combines DIY fun, pass-and-play multiplayer, and family-friendly play with simple, shareable VR gaming. It even includes a programming tool you can use to create your very own VR games and experiences! Feel your creations come to life as you and your family blast through an alien invasion, create 3D works of art, dive into an oceanic photo safari, soar atop a bird, and go wherever else your imagination takes you. [Nintendo]",Metascore 71 out of 100
Run the Fan,,,"The game consists of over 50 boards, and your goal is the same on each of them: to switch on the fan. But to achieve that, you must do much more than just push the button. There is a current generator on each of the boards, linked to the fan through a path. Problem is, the path is broken in several places. To ensure that the current reaches the fan uninterrupted, you must create an electric arc wherever the circuit was damaged.",Metascore 71 out of 100
YOUR HOUSE,"Apr 26, 2018",T,"YOUR HOUSE is a unique, text-driven mystery game that blends immersive reading with interactive puzzles, pulling players into a gripping thriller. Set in the 1990s, it follows Debbie, a rebellious teenager on a mission to uncover the secrets of a mysterious mansion.

The house itself is a living puzzle, holding the hidden pasts of three enigmatic characters. As Debbie progresses, she unravels their intertwined stories - tales of defying societal expectations to pursue personal dreams.

YOUR HOUSE delves into themes of identity, motherhood, and the price of freedom, introducing a fresh storytelling format that explores the boundaries of video games and books.",Metascore 71 out of 100
